,id,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,condition,grade,yr_built,zipcode,lat,long,price,was_renovated_post90,has_basement,viewed,sale_month
18929,112900110,2014-09-03,3,2,1620,5992,2.0,0.0,3,7,1997_to_2015,98019,47.736000000000004,-121.965,345000.0,0,0,0,9
21237,1972201511,2015-02-10,3,2,1770,1714,3.0,0.0,3,8,1997_to_2015,98103,47.6532,-122.348,671500.0,0,0,0,2
19131,6713700155,2014-08-18,3,1,1470,8400,1.0,0.0,4,7,1950_to_1975,98133,47.7628,-122.354,352500.0,0,0,0,8
16604,3830700010,2014-12-05,4,2,2370,6557,2.0,0.0,3,9,1997_to_2015,98042,47.423,-122.155,369000.0,0,0,0,12
6077,2473480780,2015-03-11,3,2,1880,7350,1.0,0.0,3,8,1975_to_1997,98058,47.4457,-122.12299999999999,320000.0,0,1,0,3
19423,8127700845,2015-02-19,2,1,710,4618,1.0,0.0,3,5,pre1950,98199,47.64,-122.39399999999999,375000.0,0,0,1,2
2876,1665400165,2014-05-07,3,1,1110,8423,1.0,0.0,3,7,1950_to_1975,98166,47.4718,-122.34200000000001,249000.0,0,0,0,5
4972,2483200010,2014-10-07,3,2,2070,6000,1.0,0.0,3,8,1950_to_1975,98136,47.5226,-122.382,690000.0,0,1,1,10
16201,2492200280,2014-12-02,3,3,2160,4086,1.0,0.0,3,7,1975_to_1997,98126,47.5352,-122.38,528000.0,0,1,0,12
21106,2708450020,2014-09-12,4,2,3236,9608,2.0,0.0,3,10,1997_to_2015,98030,47.3838,-122.195,450000.0,0,0,0,9
17138,5215200050,2014-07-29,3,2,2960,69351,2.0,1.0,4,9,1975_to_1997,98070,47.4,-122.42,750000.0,0,0,1,7
19990,3277801417,2014-05-16,3,2,1480,1663,2.0,0.0,3,9,1997_to_2015,98126,47.5443,-122.375,341000.0,0,1,0,5
6385,9834201470,2014-12-18,2,2,1000,1075,2.0,0.0,3,7,1997_to_2015,98144,47.5708,-122.288,303000.0,0,1,0,12
2826,148000705,2015-03-05,4,4,3070,4440,2.0,0.0,3,9,pre1950,98116,47.5732,-122.411,900000.0,1,1,0,3
15633,6431000005,2014-11-23,3,1,1620,3000,1.5,0.0,5,7,pre1950,98103,47.6888,-122.34700000000001,599995.0,0,0,0,11
19048,1702901340,2014-06-13,3,2,2910,6600,2.0,0.0,4,7,pre1950,98118,47.5576,-122.281,718500.0,0,1,0,6
6625,3323059027,2015-02-25,3,3,1720,28000,1.0,0.0,4,7,1950_to_1975,98058,47.4375,-122.176,340000.0,0,0,0,2
115,3626039325,2014-11-21,3,4,4380,6350,2.0,0.0,3,8,pre1950,98117,47.6981,-122.368,740500.0,0,0,0,11
7524,8856004328,2015-03-27,4,2,2163,5882,2.0,0.0,3,7,1997_to_2015,98001,47.2736,-122.251,255000.0,0,0,0,3
17941,4237900645,2014-10-10,2,2,1320,3420,1.0,0.0,3,7,1950_to_1975,98199,47.6639,-122.399,475000.0,0,1,1,10
14028,2050100210,2014-11-17,3,2,2690,17461,2.0,0.0,3,10,1975_to_1997,98074,47.653999999999996,-122.088,805000.0,0,0,1,11
13114,6873000150,2014-12-08,2,2,1390,1222,3.0,0.0,3,7,1997_to_2015,98052,47.6754,-122.12100000000001,465000.0,0,1,0,12
21565,7853420110,2015-05-04,3,3,2780,6000,2.0,0.0,3,9,1997_to_2015,98065,47.5184,-121.88600000000001,625000.0,0,0,0,5
21281,7787920080,2014-06-16,5,2,2570,9962,2.0,0.0,3,8,1997_to_2015,98019,47.7275,-121.95700000000001,492500.0,0,0,0,6
19320,6021500970,2014-05-28,2,1,1080,4000,1.0,0.0,3,7,pre1950,98117,47.6902,-122.387,345000.0,0,0,0,5
4322,2111010940,2015-02-20,3,2,2120,3400,2.0,0.0,3,7,1997_to_2015,98092,47.3364,-122.17,289500.0,0,0,0,2
8822,3885804225,2014-06-24,2,2,1460,9052,1.0,0.0,5,6,pre1950,98033,47.6857,-122.208,1010000.0,0,0,1,6
13207,1061400180,2015-01-06,3,1,1550,12670,1.0,0.0,4,7,1950_to_1975,98056,47.5024,-122.169,240000.0,0,0,0,1
10836,8562900310,2014-06-13,3,2,2350,20820,1.0,0.0,4,8,1975_to_1997,98074,47.6095,-122.059,615000.0,0,1,0,6
11247,3629921000,2014-11-21,4,2,3700,7051,2.0,0.0,3,11,1997_to_2015,98029,47.5427,-121.995,950000.0,0,0,0,11
10489,1326059070,2014-07-08,3,2,1180,16552,1.0,0.0,4,7,1950_to_1975,98072,47.7426,-122.116,390000.0,0,0,0,7
10044,7308900445,2014-07-24,3,1,1870,7671,1.0,0.0,4,8,pre1950,98177,47.7162,-122.36,375000.0,0,1,0,7
1692,8902500118,2014-08-12,3,2,1782,1577,3.0,0.0,3,7,1997_to_2015,98125,47.7114,-122.301,326000.0,0,0,0,8
7958,6071200375,2014-12-11,3,2,1680,9460,1.0,0.0,4,7,1950_to_1975,98006,47.5525,-122.182,466000.0,0,0,0,12
11080,1938400520,2014-10-16,4,2,2040,7600,1.0,0.0,4,8,1975_to_1997,98023,47.3169,-122.365,272000.0,0,1,0,10
21506,603000555,2015-03-02,6,3,2390,4000,2.0,0.0,3,7,1997_to_2015,98118,47.5173,-122.286,462500.0,0,0,0,3
8807,7855400330,2014-06-04,5,3,2660,8737,1.0,0.0,5,8,1950_to_1975,98006,47.5667,-122.155,1100000.0,0,1,1,6
17990,1438700040,2014-08-25,5,3,2410,19447,2.0,0.0,3,10,1950_to_1975,98040,47.5549,-122.211,1320000.0,0,1,1,8
19357,8802400906,2014-08-29,3,2,1540,8885,1.0,0.0,4,7,1975_to_1997,98031,47.4031,-122.20100000000001,244000.0,0,1,0,8
1554,9406520550,2014-10-27,3,2,1646,7364,2.0,0.0,3,7,1975_to_1997,98038,47.3646,-122.037,307500.0,0,0,0,10
4731,6917700356,2014-05-14,2,1,840,3522,1.0,0.0,3,6,pre1950,98199,47.6575,-122.395,405100.0,0,0,0,5
5865,9828701650,2014-11-25,2,1,700,3400,1.0,0.0,3,6,pre1950,98112,47.6212,-122.296,399000.0,0,0,0,11
10144,11520200,2014-10-15,4,2,3020,13122,2.0,0.0,3,9,1975_to_1997,98052,47.6989,-122.111,750000.0,0,1,0,10
3106,1721801591,2015-02-19,1,1,570,4080,1.0,0.0,3,5,pre1950,98146,47.5098,-122.334,89950.0,0,0,0,2
14273,2024059052,2014-08-14,6,3,3420,22421,1.0,0.0,5,9,pre1950,98006,47.5508,-122.189,975000.0,0,1,0,8
7969,7202310040,2015-04-08,3,2,2620,6842,2.0,0.0,3,7,1997_to_2015,98053,47.6846,-122.037,635000.0,0,0,0,4
8285,5649300120,2015-04-20,4,3,1890,35280,1.0,0.0,3,9,1975_to_1997,98052,47.7112,-122.09899999999999,597500.0,0,1,0,4
6115,1377300005,2015-04-01,4,4,3470,8580,2.0,0.0,3,11,1997_to_2015,98199,47.6433,-122.40299999999999,1450000.0,0,1,0,4
7907,6352600490,2015-01-14,4,4,2770,8049,2.0,0.0,3,9,1997_to_2015,98074,47.6469,-122.081,820000.0,0,0,0,1
1337,5104450070,2015-03-09,4,2,2730,7506,2.0,0.0,4,8,1975_to_1997,98058,47.4627,-122.152,435000.0,0,0,0,3
2112,2916620240,2014-06-18,4,2,1770,9011,1.0,0.0,5,7,1975_to_1997,98042,47.3646,-122.07600000000001,264950.0,0,1,0,6
5230,9165100130,2014-06-18,3,2,1180,4080,1.0,0.0,4,6,pre1950,98117,47.6825,-122.391,450000.0,0,1,0,6
16120,1328320280,2015-03-27,3,2,1830,6925,1.0,0.0,4,8,1975_to_1997,98058,47.4445,-122.12299999999999,323000.0,0,0,0,3
5792,3211230080,2014-07-28,3,2,2200,34680,2.0,0.0,3,9,1975_to_1997,98092,47.3139,-122.116,424000.0,0,0,0,7
7241,8096600050,2015-01-23,3,2,1850,9600,1.0,0.0,3,7,1950_to_1975,98011,47.7671,-122.225,510000.0,1,0,0,1
1433,133000135,2014-11-20,4,2,1990,18900,2.0,0.0,4,7,pre1950,98168,47.5131,-122.31299999999999,290000.0,0,1,0,11
2214,7231501610,2014-10-23,4,1,1620,6000,1.5,0.0,5,7,pre1950,98055,47.4763,-122.206,327000.0,0,0,0,10
21235,3449500050,2014-10-15,4,3,2980,9825,1.0,0.0,3,8,1997_to_2015,98056,47.5073,-122.17200000000001,505000.0,0,1,0,10
20769,7694200350,2014-08-20,4,2,2620,4050,2.0,0.0,3,8,1997_to_2015,98146,47.5017,-122.34,399963.0,0,0,0,8
18892,290200230,2014-08-19,4,2,2800,5368,2.0,0.0,3,8,1997_to_2015,98074,47.6076,-122.053,676000.0,0,0,0,8
16182,7527410080,2014-06-02,5,3,2910,36250,1.0,0.0,3,8,1975_to_1997,98075,47.5916,-122.07600000000001,585083.0,0,1,0,6
17816,1771000970,2014-10-10,3,1,1160,9600,1.0,0.0,4,7,1950_to_1975,98077,47.7419,-122.073,330000.0,0,0,0,10
13806,5515600087,2014-12-09,3,2,1100,33600,1.0,0.0,3,7,1950_to_1975,98001,47.3185,-122.29,215000.0,0,0,0,12
3210,2028700265,2015-01-15,2,2,1310,3816,1.0,0.0,2,7,pre1950,98117,47.678999999999995,-122.368,505000.0,0,1,0,1
19635,7338220160,2015-02-25,4,2,2730,4962,2.0,0.0,3,8,1997_to_2015,98002,47.3363,-122.21600000000001,319500.0,0,0,0,2
17958,1310440590,2015-04-13,3,2,2290,6302,2.0,0.0,3,9,1975_to_1997,98058,47.435,-122.10700000000001,440000.0,0,0,0,4
18917,2817910220,2014-12-16,4,2,2820,39413,2.0,0.0,4,9,1975_to_1997,98092,47.3064,-122.1,465000.0,0,0,0,12
20729,259500270,2014-05-05,3,2,3040,4535,2.0,0.0,3,9,1997_to_2015,98056,47.51,-122.185,478000.0,0,0,0,5
4285,2770600853,2014-06-12,3,2,1910,1501,2.5,0.0,3,8,1997_to_2015,98199,47.6441,-122.385,585000.0,0,1,0,6
8350,8731983200,2015-03-10,2,2,1950,8200,1.0,0.0,3,8,1950_to_1975,98023,47.3161,-122.382,255000.0,0,0,0,3
13795,9542830210,2015-02-11,4,2,1660,3200,2.0,0.0,3,7,1997_to_2015,98038,47.3666,-122.01899999999999,300000.0,0,0,0,2
16155,7211350130,2014-06-19,4,2,1220,9600,1.0,0.0,3,6,1975_to_1997,98014,47.6462,-121.90899999999999,310000.0,0,0,0,6
7608,1773100123,2014-10-02,3,2,1100,1307,2.0,0.0,3,7,1997_to_2015,98106,47.5601,-122.363,285000.0,0,1,0,10
12170,7922800160,2014-05-09,3,2,1400,7293,1.0,0.0,4,7,1950_to_1975,98008,47.58600000000001,-122.12,511555.0,0,0,0,5
17226,1338800280,2014-09-29,4,2,2650,6900,2.0,0.0,4,9,pre1950,98112,47.6275,-122.305,1460000.0,0,1,0,9
4336,5101404563,2014-06-27,3,2,1960,6380,1.0,0.0,4,7,pre1950,98115,47.6975,-122.316,561500.0,0,1,0,6
6126,6813600380,2014-12-24,3,3,2090,7440,1.5,0.0,5,7,pre1950,98103,47.6891,-122.331,700000.0,0,1,0,12
1147,809002435,2014-08-08,3,2,1940,4000,1.5,0.0,5,7,pre1950,98109,47.6372,-122.352,725000.0,0,0,0,8
13408,1854900330,2014-09-09,4,2,3160,6961,2.0,0.0,3,8,1997_to_2015,98074,47.6125,-122.01,697000.0,0,0,0,9
5217,3797710010,2015-04-28,4,2,1770,7778,2.0,0.0,3,7,1997_to_2015,98031,47.4192,-122.20100000000001,350000.0,0,0,0,4
17723,2826049160,2014-09-05,4,2,1680,6834,1.5,0.0,3,7,pre1950,98125,47.716,-122.307,375000.0,0,0,0,9
21093,8562780190,2014-10-07,2,2,1240,705,2.0,0.0,3,7,1997_to_2015,98027,47.5321,-122.073,315000.0,0,1,0,10
19611,8682302030,2014-05-21,3,2,1440,4421,1.0,0.0,3,8,1997_to_2015,98053,47.7188,-122.024,413800.0,0,0,0,5
2026,5379804888,2015-04-21,4,2,1740,9150,1.0,0.0,3,7,1950_to_1975,98188,47.4498,-122.28,380000.0,0,0,0,4
13719,7304301085,2015-01-29,2,1,1130,8184,1.0,0.0,3,6,pre1950,98155,47.7473,-122.32,322500.0,0,0,0,1
17118,4345300050,2014-06-17,4,2,1660,9760,2.0,0.0,3,7,1975_to_1997,98030,47.3635,-122.18799999999999,294999.0,0,0,0,6
16290,7856570190,2014-08-22,4,3,3410,23000,2.0,0.0,4,10,1975_to_1997,98006,47.5559,-122.149,870000.0,0,0,0,8
2534,1471590060,2014-06-19,4,2,2496,8058,2.0,0.0,3,9,1997_to_2015,98052,47.6791,-122.149,661000.0,0,0,0,6
6463,8732190460,2015-05-05,3,2,1680,8725,1.0,0.0,3,8,1975_to_1997,98023,47.3107,-122.397,260000.0,0,1,0,5
239,5152100060,2014-05-29,6,2,4410,14034,1.0,0.0,4,9,1950_to_1975,98003,47.3376,-122.324,472000.0,0,1,1,5
15652,2767603165,2015-01-22,4,2,1980,4500,2.0,0.0,4,7,pre1950,98107,47.6728,-122.37899999999999,500000.0,0,0,0,1
13956,3905081520,2015-03-25,4,3,2390,6979,2.0,0.0,3,8,1975_to_1997,98029,47.5703,-121.99600000000001,625000.0,0,0,0,3
20378,3362401758,2014-09-03,3,2,1420,990,3.0,0.0,3,8,1997_to_2015,98103,47.6801,-122.348,467000.0,0,0,0,9
15720,6758700050,2015-04-01,3,2,1970,3420,2.0,0.0,5,8,pre1950,98103,47.6762,-122.354,812000.0,0,0,1,4
2405,3888100128,2014-07-28,4,4,4120,7304,2.0,0.0,3,11,1997_to_2015,98033,47.681000000000004,-122.167,968933.0,0,1,0,7
715,3832200070,2014-12-22,4,2,1710,7140,1.0,0.0,5,7,1950_to_1975,98032,47.3745,-122.275,250000.0,0,1,0,12
13077,8122600145,2014-05-21,4,2,1660,6150,1.0,0.0,3,6,pre1950,98126,47.5371,-122.368,452000.0,0,1,0,5
7763,3528900735,2014-09-10,3,2,1780,1429,3.0,0.0,3,8,1997_to_2015,98109,47.6413,-122.346,620000.0,0,1,0,9
20362,1853080840,2015-02-11,5,4,3700,7055,2.0,0.0,3,9,1997_to_2015,98074,47.5929,-122.057,889950.0,0,0,0,2
11323,5104532030,2015-03-06,4,4,3400,5222,2.0,0.0,3,9,1997_to_2015,98038,47.3559,-122.0,515000.0,0,0,0,3
14076,952001765,2014-07-07,2,2,1580,5750,1.0,0.0,5,6,pre1950,98116,47.5668,-122.384,558000.0,0,1,0,7
8766,2771603940,2015-01-09,2,1,1360,5000,1.0,0.0,3,7,pre1950,98199,47.6372,-122.39200000000001,640000.0,0,1,0,1
5421,4078300050,2015-05-04,3,3,2910,3094,2.0,0.0,5,7,pre1950,98125,47.7071,-122.27600000000001,780000.0,0,1,1,5
12290,7278700069,2014-05-21,4,2,2340,6420,1.0,0.0,3,8,1950_to_1975,98177,47.7728,-122.38600000000001,668750.0,0,1,1,5
5227,7319900345,2014-08-25,3,2,1490,3072,1.0,0.0,5,7,pre1950,98144,47.5772,-122.307,438500.0,0,1,0,8
15326,5559200170,2015-04-30,4,2,2390,23972,2.0,0.0,3,7,pre1950,98023,47.3197,-122.34299999999999,307000.0,0,1,0,4
16951,4364700585,2015-04-08,3,2,2180,7318,1.0,0.0,4,7,1950_to_1975,98126,47.5251,-122.37,485000.0,0,1,0,4
16130,7202271060,2015-03-10,4,2,2980,5896,2.0,0.0,3,8,1997_to_2015,98053,47.6872,-122.036,610000.0,0,0,0,3
2595,2972300140,2014-08-21,3,2,1920,33630,1.0,0.0,3,8,1975_to_1997,98056,47.4983,-122.167,352500.0,0,0,0,8
15150,2172000894,2015-04-17,3,1,1250,10200,1.0,0.0,3,6,1950_to_1975,98178,47.4902,-122.256,225000.0,0,0,0,4
13375,2561320120,2014-08-11,3,2,1350,10200,1.0,0.0,3,7,1975_to_1997,98074,47.6159,-122.05,366000.0,0,0,0,8
4484,7849200945,2015-04-01,2,2,1310,10200,1.0,0.0,4,6,pre1950,98065,47.5231,-121.82,306500.0,0,0,0,4
12457,4254000060,2014-10-02,4,3,2530,17856,2.0,0.0,3,8,1997_to_2015,98019,47.7356,-121.959,525000.0,0,0,0,10
10137,1357300240,2014-10-27,3,2,1320,7200,1.0,0.0,4,7,1975_to_1997,98028,47.7341,-122.23700000000001,333500.0,0,0,0,10
17398,4122900020,2014-06-26,4,3,4040,20001,1.0,0.0,3,9,1950_to_1975,98004,47.6408,-122.212,1390000.0,1,1,0,6
3463,1523059201,2015-02-17,3,2,2280,77972,1.0,0.0,3,8,1975_to_1997,98059,47.4804,-122.15100000000001,749700.0,0,1,0,2
7765,254000735,2014-08-06,3,1,1140,5258,1.5,0.0,3,6,pre1950,98146,47.5122,-122.383,329000.0,0,0,0,8
7438,1592000680,2014-05-28,3,2,2190,10370,2.0,0.0,3,9,1975_to_1997,98074,47.6218,-122.03,665000.0,0,0,0,5
13941,2767601085,2015-01-26,6,3,2730,5000,1.0,0.0,3,8,1950_to_1975,98107,47.6751,-122.38,733000.0,0,1,0,1
17120,6143000020,2015-04-06,3,2,1910,17003,1.5,0.0,4,8,1950_to_1975,98001,47.3095,-122.28299999999999,299000.0,0,0,0,4
17491,2600130190,2014-11-07,4,2,2790,10289,2.0,0.0,3,9,1975_to_1997,98006,47.5483,-122.15799999999999,982000.0,0,0,0,11
13020,3626039279,2014-08-05,2,1,960,6700,1.0,0.0,3,7,1950_to_1975,98103,47.6955,-122.35700000000001,395000.0,0,0,0,8
15280,3582700130,2015-04-09,4,2,1770,12875,1.0,0.0,3,8,1975_to_1997,98028,47.7438,-122.24700000000001,400000.0,0,0,0,4
5333,2215901310,2014-11-14,4,2,1920,7345,2.0,0.0,3,8,1975_to_1997,98038,47.3526,-122.055,303500.0,0,0,0,11
2277,2719100013,2015-04-29,2,2,1480,1349,2.0,0.0,3,7,1997_to_2015,98136,47.5439,-122.38600000000001,418000.0,0,1,0,4
19359,2215450100,2015-01-12,4,2,2240,7589,2.0,0.0,3,8,1975_to_1997,98030,47.3824,-122.20700000000001,330000.0,0,0,0,1
5597,2891000010,2014-08-06,4,2,1594,7665,1.0,0.0,5,7,1950_to_1975,98002,47.3262,-122.211,269000.0,0,1,0,8
7559,3886902950,2014-09-11,4,4,3380,8098,1.0,0.0,5,9,1950_to_1975,98033,47.6839,-122.19,860000.0,0,1,1,9
3494,9547204350,2014-05-19,3,2,1610,5100,1.5,0.0,5,8,pre1950,98115,47.6825,-122.307,690000.0,0,0,0,5
17395,1951600250,2015-04-06,3,1,830,9600,1.0,0.0,3,7,1950_to_1975,98032,47.3698,-122.29700000000001,135000.0,0,0,0,4
17405,6138000095,2014-11-18,3,1,1080,10639,1.5,0.0,3,7,1950_to_1975,98002,47.3171,-122.219,219000.0,0,0,0,11
8241,4463400195,2014-07-18,2,1,1280,21750,1.5,0.0,5,6,pre1950,98001,47.3096,-122.241,170000.0,0,0,0,7
16452,3905090130,2014-07-17,4,2,2430,8509,2.0,0.0,3,9,1975_to_1997,98029,47.5714,-121.991,658100.0,0,0,0,7
14416,3856904655,2015-03-29,4,1,1430,4080,1.5,0.0,3,7,pre1950,98105,47.6696,-122.324,667750.0,0,0,0,3
13138,4365200620,2015-03-12,3,1,1450,7930,1.0,0.0,4,6,pre1950,98126,47.5212,-122.37100000000001,394000.0,0,1,0,3
19226,3876311490,2014-07-24,4,3,3210,6825,1.0,0.0,5,7,1950_to_1975,98034,47.7338,-122.169,580000.0,0,1,0,7
18513,7116500925,2014-05-20,4,2,1700,6025,1.0,0.0,3,6,1975_to_1997,98002,47.3029,-122.221,206000.0,0,0,0,5
17448,1972200698,2014-05-28,2,3,1400,1243,3.0,0.0,3,8,1997_to_2015,98103,47.6534,-122.353,474800.0,0,0,0,5
14137,272000620,2014-12-02,2,1,900,2728,2.0,0.0,3,7,1997_to_2015,98144,47.5877,-122.29799999999999,290000.0,0,0,0,12
19267,984100450,2014-06-24,3,2,2000,7560,1.0,0.0,4,7,1950_to_1975,98058,47.4346,-122.171,295000.0,0,1,0,6
19779,9272201704,2014-05-12,2,2,980,895,2.0,0.0,3,8,1997_to_2015,98116,47.5874,-122.38600000000001,369000.0,0,1,0,5
6866,7558300170,2014-12-12,3,2,1830,13477,1.0,0.0,4,7,1975_to_1997,98034,47.7243,-122.21,439000.0,0,1,1,12
15319,4037800020,2014-10-08,5,2,2170,8610,1.0,0.0,4,7,1950_to_1975,98008,47.6111,-122.126,497500.0,0,1,0,10
9870,1995200338,2014-10-29,4,2,2830,5010,2.0,0.0,3,9,1997_to_2015,98115,47.6952,-122.32700000000001,738000.0,0,1,0,10
3208,9212900820,2014-08-28,2,2,1170,8251,1.0,0.0,3,7,pre1950,98115,47.6873,-122.291,393820.0,0,0,0,8
10508,1423400160,2014-06-18,2,1,1080,9435,1.0,0.0,3,6,1950_to_1975,98058,47.458999999999996,-122.181,230000.0,0,0,0,6
12167,3293700521,2015-04-14,3,2,1820,8028,1.0,0.0,3,7,1975_to_1997,98133,47.7466,-122.355,389000.0,0,1,0,4
8703,3791400100,2014-07-28,4,2,2810,6146,2.0,0.0,3,9,1997_to_2015,98031,47.4045,-122.208,301000.0,0,0,0,7
18409,3279000120,2014-12-22,2,2,1700,7992,1.0,0.0,4,7,1975_to_1997,98023,47.3031,-122.385,274000.0,0,1,0,12
11388,1402950240,2014-06-02,4,2,2070,7476,2.0,0.0,3,8,1997_to_2015,98092,47.3352,-122.189,300000.0,0,0,0,6
18654,9834200975,2015-02-10,3,3,1520,4080,2.0,0.0,5,7,pre1950,98144,47.571999999999996,-122.29,495000.0,0,0,0,2
1530,8165500830,2015-03-27,3,2,1690,1200,2.0,0.0,3,8,1997_to_2015,98106,47.5389,-122.367,409900.0,0,1,0,3
18595,223039254,2014-06-24,2,1,900,5220,1.0,0.0,4,6,1950_to_1975,98146,47.5105,-122.387,329950.0,0,0,0,6
15252,3438502066,2015-04-08,4,1,1320,5000,1.5,0.0,3,7,pre1950,98106,47.5457,-122.363,229000.0,0,0,0,4
17810,2645500021,2014-10-09,3,2,1590,7260,1.0,0.0,3,7,1950_to_1975,98133,47.7753,-122.353,339275.0,0,1,0,10
5516,9406550050,2015-03-30,3,2,1490,8628,2.0,0.0,3,7,1975_to_1997,98038,47.3643,-122.041,289000.0,0,0,0,3
7713,8894000040,2014-06-25,3,3,1850,16960,1.0,0.0,4,8,1950_to_1975,98177,47.7128,-122.365,645000.0,0,0,1,6
9169,6163900821,2014-06-24,4,2,1310,8454,1.0,0.0,4,7,1950_to_1975,98155,47.7572,-122.318,304000.0,0,0,0,6
